"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","St Germain's","E05001519","Total",2858,2,262,564,1499,451,80
"2011","Saltburn","E05001520","Total",2865,11,470,727,1072,398,187
"2011","Skelton","E05001521","Total",3189,2,115,1138,1276,529,129
"2011","South Bank","E05001522","Total",2786,4,271,647,1686,130,48
"2011","Teesville","E05001523","Total",2920,5,216,971,1494,203,31
"2011","West Dyke","E05001524","Total",3129,1,89,764,1516,679,80
"2011","Westworth","E05001525","Total",1931,1,19,425,1053,353,80
"2011","Zetland","E05001526","Total",2017,2,105,482,1193,190,45
"2011","Billingham Central","E05001527","Total",3131,2,171,749,2048,131,30
"2011","Billingham East","E05001528","Total",3086,5,137,469,2293,150,32
"2011","Billingham North","E05001529","Total",3700,4,132,754,1838,896,76
"2011","Billingham South","E05001530","Total",2744,5,225,434,1867,184,29
"2011","Billingham West","E05001531","Total",2416,4,40,564,1215,536,57
"2011","Bishopsgarth and Elm Tree","E05001532","Total",2930,4,228,696,1418,509,75
"2011","Eaglescliffe","E05001533","Total",4338,5,147,926,2044,937,279
"2011","Fairfield","E05001534","Total",2456,1,137,561,1331,362,64
"2011","Grangefield","E05001535","Total",2653,3,113,336,1561,498,142
"2011","Hardwick","E05001536","Total",2844,5,419,772,1397,213,38
"2011","Hartburn","E05001537","Total",2778,3,54,480,1625,509,107
"2011","Ingleby Barwick East","E05001538","Total",3806,0,43,546,1410,1551,256
"2011","Ingleby Barwick West","E05001539","Total",3712,5,11,325,1229,1719,423
"2011","Mandale and Victoria","E05001540","Total",4681,15,690,1346,2265,303,62
"2011","Newtown","E05001541","Total",2970,2,282,942,1474,217,53
"2011","Northern Parishes","E05001542","Total",1284,1,28,144,315,493,303
"2011","Norton North","E05001543","Total",3004,12,301,901,1526,201,63
"2011","Norton South","E05001544","Total",3099,3,286,1034,1587,150,39
"2011","Norton West","E05001545","Total",2808,0,185,762,1121,634,106
"2011","Parkfield and Oxbridge","E05001546","Total",3378,19,560,1059,1189,389,162
"2011","Roseworth","E05001547","Total",3044,4,244,736,1837,185,38
"2011","Stainsby Hill","E05001548","Total",2722,0,254,638,1582,176,72
"2011","Stockton Town Centre","E05001549","Total",2998,9,900,1023,899,108,59
"2011","Village","E05001550","Total",3074,2,257,954,1480,317,64
"2011","Western Parishes","E05001551","Total",1358,1,49,248,465,462,133
"2011","Yarm","E05001552","Total",4145,3,235,848,1453,1333,273
"2011","Birtley","E05001067","Total",3599,2,280,1278,1565,383,91
"2011","Blaydon","E05001068","Total",4454,7,383,1454,2208,335,67
"2011","Bridges","E05001069","Total",4327,23,759,2092,1137,176,140
"2011","Chopwell and Rowlands Gill","E05001070","Total",4209,4,270,1694,1672,427,142
"2011","Chowdene","E05001071","Total",4109,6,436,1241,2033,332,61
"2011","Crawcrook and Greenside","E05001072","Total",3881,11,238,1668,1507,371,86
"2011","Deckham","E05001073","Total",4428,7,394,1908,1796,242,81
"2011","Dunston and Teams","E05001074","Total",4359,19,631,2080,1404,191,34
"2011","Dunston Hill and Whickham East","E05001075","Total",3874,6,163,1048,2015,496,146
"2011","Felling","E05001076","Total",4206,11,649,1867,1439,193,47
"2011","High Fell","E05001077","Total",4181,4,425,1531,1883,300,38
"2011","Lamesley","E05001078","Total",3984,6,347,1472,1709,349,101
"2011","Lobley Hill and Bensham","E05001079","Total",4726,17,500,2052,1647,404,106
"2011","Low Fell","E05001080","Total",3836,17,272,1198,1594,561,194
"2011","Pelaw and Heworth","E05001081","Total",4069,11,317,1614,1895,190,42
"2011","Ryton, Crookhill and Stella","E05001082","Total",3552,4,231,1202,1579,418,118
"2011","Saltwell","E05001083","Total",4165,6,340,1981,1161,387,290
"2011","Wardley and Leam Lane","E05001084","Total",3605,7,342,1266,1658,299,33
"2011","Whickham North","E05001085","Total",3811,28,338,1466,1503,380,96
"2011","Whickham South and Sunniside","E05001086","Total",3652,9,106,1070,1714,623,130
"2011","Windy Nook and Whitehills","E05001087","Total",4375,5,458,1780,1902,188,42
"2011","Winlaton and High Spen","E05001088","Total",3752,5,328,1160,1824,359,76
